y,pred
[[71.33000183]],[[71.74670117]]
[[71.51999664]],[[71.34179789]]
[[71.44000244]],[[71.52940172]]
[[71.51999664]],[[71.44773685]]
[[71.16000366]],[[71.52796831]]
[[70.23999786]],[[71.1697373]]
[[70.46499634]],[[70.25153151]]
[[70.94000244]],[[70.47797971]]
[[71.15000153]],[[70.953854]]
[[71.40499878]],[[71.16311642]]
[[71.63500214]],[[71.41743927]]
[[71.51999664]],[[71.647527]]
[[71.94000244]],[[71.53288693]]
[[71.47499847]],[[71.95393911]]
[[71.50499725]],[[71.49000491]]
[[71.98999786]],[[71.52106777]]
[[71.63999939]],[[72.00615486]]
[[71.80999756]],[[71.65553126]]
[[72.02999878]],[[71.82495475]]
[[72.30999756]],[[72.04388982]]
[[72.47000122]],[[72.32298443]]
[[72.57499695]],[[72.48226226]]
[[72.65000153]],[[72.58699836]]
[[72.48000336]],[[72.66254607]]
[[72.87000275]],[[72.49259199]]
[[72.56999969]],[[72.88241344]]
[[71.80999756]],[[72.58240525]]
[[72.19999695]],[[71.82268196]]
[[72.05999756]],[[72.21298316]]
[[71.87000275]],[[72.07270518]]
[[71.67199707]],[[71.88252104]]
[[71.48999786]],[[71.68448515]]
[[71.40000153]],[[71.50244011]]
[[72.09999847]],[[71.41247041]]
[[72.73999786]],[[72.11272604]]
[[72.88999939]],[[72.75310586]]
[[72.84999847]],[[72.90331282]]
[[72.77999878]],[[72.86452177]]
[[72.59999847]],[[72.79571599]]
[[73.31999969]],[[72.61576904]]
[[73.41999817]],[[73.3349237]]
[[73.41000366]],[[73.43360861]]
[[73.86000061]],[[73.42270186]]
[[73.61000061]],[[73.87152554]]
[[73.68000031]],[[73.62004195]]
[[74.56500244]],[[73.68920634]]
[[74.33999634]],[[74.5743985]]
[[75.30999756]],[[74.35051361]]
[[76.01999664]],[[75.32227562]]
[[75.84999847]],[[76.0338829]]
[[75.69999695]],[[75.86452816]]
[[75.22499847]],[[75.71349707]]
[[74.86499786]],[[75.23739187]]
[[74.87999725]],[[74.87696659]]
[[75.51999664]],[[74.89207243]]
[[75.67500305]],[[75.53290481]]
[[76.]],[[75.68915979]]
[[75.25]],[[76.0146728]]
[[75.26499939]],[[75.26460958]]
[[75.34999847]],[[75.27941393]]
[[75.41000366]],[[75.36422635]]
[[74.94000244]],[[75.42412319]]
[[74.98000336]],[[74.95349042]]
[[75.08999634]],[[74.9929086]]
[[75.27999878]],[[75.10270484]]
[[75.23999786]],[[75.29586719]]
[[75.18000031]],[[75.2592659]]
[[75.30000305]],[[75.2005438]]
[[75.13999939]],[[75.31946598]]
[[75.80000305]],[[75.15747973]]
[[76.08000183]],[[75.81550244]]
[[75.86160278]],[[76.09361563]]
[[76.27999878]],[[75.87355365]]
[[76.86000061]],[[76.29079819]]
[[76.94499969]],[[76.87028973]]
[[77.08999634]],[[76.95538905]]
[[77.04000092]],[[77.10061693]]
[[76.02999878]],[[77.0504384]]
[[76.26000214]],[[76.0403167]]
[[76.37999725]],[[76.27076377]]
[[76.45500183]],[[76.39130193]]
[[76.58999634]],[[76.46698893]]
[[76.77500153]],[[76.60269422]]
[[76.51000214]],[[76.78847942]]
[[76.62999725]],[[76.52434786]]
[[76.56999969]],[[76.64481538]]
[[76.25]],[[76.58519986]]
[[75.78500366]],[[76.26440832]]
[[75.80999756]],[[75.79793086]]
[[75.63999939]],[[75.82091965]]
[[75.53500366]],[[75.6496966]]
[[75.16999817]],[[75.54465758]]
[[75.20999908]],[[75.18059311]]
[[74.98999786]],[[75.22213476]]
[[75.06500244]],[[75.0032395]]
[[75.09999847]],[[75.07907695]]
[[75.25270081]],[[75.11486318]]
[[75.69000244]],[[75.26772525]]
[[75.51999664]],[[75.70494501]]
[[75.58999634]],[[75.53439813]]
[[75.55000305]],[[75.60412789]]
[[75.59999847]],[[75.56438268]]
[[75.98999786]],[[75.61435044]]
[[75.51499939]],[[76.00396244]]
[[75.09999847]],[[75.5287318]]
[[75.30000305]],[[75.11424684]]
[[75.65499878]],[[75.31525097]]
[[75.93000031]],[[75.67032788]]
[[75.93499756]],[[75.94492152]]
[[75.83000183]],[[75.94962867]]
[[75.73999786]],[[75.84441441]]
[[75.81999969]],[[75.75510746]]
[[75.23999786]],[[75.83545601]]
[[75.38500214]],[[75.25502482]]
[[75.55000305]],[[75.39935709]]
[[75.44000244]],[[75.56358956]]
[[75.48999786]],[[75.45311951]]
[[74.27999878]],[[75.50614395]]
[[74.68000031]],[[74.29868808]]
[[74.90499878]],[[74.69914413]]
[[74.91000366]],[[74.92313322]]
[[75.01999664]],[[74.92587361]]
[[74.25]],[[75.03330423]]
[[74.05000305]],[[74.26105692]]
[[73.23000336]],[[74.05964373]]
[[72.91999817]],[[73.23879089]]
