y,pred
204.6499938964844,204.96278609303033
203.91000366210935,204.71927409328654
204.63999938964844,203.9589656041601
204.57000732421875,204.72475787286513
203.1499938964844,204.62162508823383
202.67999267578125,203.18003175559548
203.3500061035156,202.69200048321306
203.5,203.29369490955506
203.83999633789065,203.49754642043263
205.38999938964844,203.8837531213052
203.94000244140625,205.41851567693894
204.5399932861328,203.96455064188274
204.63499450683597,204.52820597802796
204.7322998046875,204.62746159472238
203.97000122070312,204.7916704309955
203.8600006103516,203.99820713859168
204.44000244140625,203.89368888622926
203.8950042724609,204.4217176072351
202.75,203.892361735106
202.8699951171875,202.77208958007395
203.97000122070312,202.877335335417
203.9550018310547,203.95854234098118
203.75,203.94038723982788
206.9499969482422,203.78722083056346
208.5,206.98893179081708
208.6999969482422,208.53835574816912
209.3800048828125,208.70433716376485
210.5998992919922,209.4152905816618
210.6100006103516,210.6026393180649
211.4600067138672,210.60843183585922
211.75999450683597,211.50994848275798
210.27870178222656,211.82252447994273
211.5,210.32548222188794
209.7100067138672,211.53156677540392
210.30999755859372,209.7507697669056
210.08999633789065,210.32726240255383
209.57000732421875,210.08773488162305
209.9600067138672,209.5690896006539
209.5,209.97489086519093
208.5749969482422,209.52156885992736
209.08999633789065,208.5927056102285
209.2303009033203,209.10977742449197
210.22000122070312,209.2834203750704
210.2700042724609,210.19430944893492
209.8650054931641,210.27446800328545
209.3699951171875,209.91424259263448
209.9499969482422,209.42338092390742
209.75,210.03647139105047
209.3999938964844,209.8007748303935
209.40499877929688,209.42378776749163
209.9900054931641,209.42776037400358
210.0249938964844,209.97896956651476
210.3999938964844,210.0439738456698
209.94500732421875,210.4656995471133
209.4199981689453,210.0074123519637
209.5500030517578,209.48158128226348
209.22999572753903,209.60782933989935
209.2100067138672,209.3073553930072
209.7700042724609,209.26801234694082
210.2400054931641,209.7967343027932
209.30999755859372,210.23879465815244
208.27999877929688,209.3746017883819
206.13499450683597,208.364385651526
205.7400054931641,206.1616955991611
205.72999572753903,205.72223938507094
205.57000732421875,205.72880320298165
205.82000732421875,205.59506456047166
206.1699981689453,205.83059407677922
204.94000244140625,206.1817580607793
203.0500030517578,204.94966060482295
202.95899963378903,203.06571995080787
204.5800018310547,202.96691769407562
203.5399932861328,204.55977555007266
204.4499969482422,203.56354249768512
204.0,204.46653586508234
203.47999572753903,204.0710683465004
203.92999267578125,203.52171460831482
204.17999267578125,203.99349092894352
203.92999267578125,204.23194102521904
204.47000122070312,203.96288002052506
202.7050018310547,204.4948546790884
201.8600006103516,202.73925475360102
202.88999938964844,201.88289372968893
202.7050018310547,202.87931165830653
202.7400054931641,202.69175336545473
203.0800018310547,202.748192947468
203.92999267578125,203.09844494545698
203.4199981689453,203.9557475918781
