y,pred
[[457.29501343]],[[460.22149873]]
[[455.48999023]],[[457.37595281]]
[[456.29000854]],[[455.56826342]]
[[457.45999146]],[[456.36835291]]
[[449.04000854]],[[457.54222113]]
[[447.76000977]],[[449.12385452]]
[[450.42001343]],[[447.84275436]]
[[453.73001099]],[[450.50230322]]
[[456.94000244]],[[453.81382163]]
[[454.40499878]],[[457.04184371]]
[[456.5]],[[454.52269173]]
[[468.60998535]],[[456.62602429]]
[[467.51000977]],[[468.73324632]]
[[471.3999939]],[[467.61798091]]
[[471.27999878]],[[471.48722299]]
[[472.11999512]],[[471.34830077]]
[[474.04998779]],[[472.17340059]]
[[475.91009521]],[[474.09697682]]
[[474.3999939]],[[475.95941384]]
[[472.23999023]],[[474.45504106]]
[[472.79501343]],[[472.30174452]]
[[475.98498535]],[[472.86258917]]
[[477.01000977]],[[476.05533813]]
[[478.64001465]],[[477.07914931]]
[[478.83999634]],[[478.70730782]]
[[473.67001343]],[[478.90762088]]
[[473.44000244]],[[473.74336965]]
[[469.32998657]],[[473.52394934]]
[[467.63000488]],[[469.42139242]]
[[465.82998657]],[[467.72528498]]
[[464.83999634]],[[465.92772853]]
[[464.45001221]],[[464.93538678]]
[[458.95999146]],[[464.5399209]]
[[460.97000122]],[[459.04480064]]
[[461.19500732]],[[461.05208048]]
[[466.22000122]],[[461.27707682]]
[[466.07998657]],[[466.30766123]]
[[464.63000488]],[[466.17083933]]
[[467.45999146]],[[464.72039152]]
[[467.73001099]],[[467.54744229]]
[[471.33999634]],[[467.81261263]]
[[466.58499146]],[[471.41955167]]
[[463.66500854]],[[466.65938837]]
[[463.6499939]],[[463.7367894]]
[[473.20001221]],[[463.72131298]]
[[473.42001343]],[[473.27210398]]
[[483.]],[[473.49393056]]
[[482.82000732]],[[483.07947036]]
[[484.76998901]],[[482.90355977]]
[[485.55999756]],[[484.85830157]]
[[481.48001099]],[[485.64980344]]
[[480.32000732]],[[481.56951785]]
[[480.88000488]],[[480.40751279]]
[[477.89001465]],[[480.96428033]]
[[478.79000854]],[[477.972746]]
[[475.97000122]],[[478.87315611]]
[[474.26998901]],[[476.05373889]]
[[474.45999146]],[[474.355258]]
[[472.73999023]],[[474.545588]]
[[470.88000488]],[[472.82380421]]
[[469.8999939]],[[470.9608596]]
[[472.45001221]],[[469.97773072]]
[[472.10998535]],[[472.52590047]]
[[471.88000488]],[[472.18522102]]
[[472.51000977]],[[471.95584377]]
[[467.63000488]],[[472.59157211]]
[[469.22000122]],[[467.71502426]]
[[470.63000488]],[[469.31106402]]
[[471.69000244]],[[470.72455851]]
[[471.6000061]],[[471.78227911]]
[[472.91000366]],[[471.68481262]]
[[475.39498901]],[[472.9935659]]
[[478.31500244]],[[475.48173891]]
[[476.6499939]],[[478.4020179]]
[[475.82998657]],[[476.72944756]]
[[471.79998779]],[[475.89999205]]
[[472.98999023]],[[471.86446329]]
[[472.26000977]],[[473.05360991]]
[[472.06500244]],[[472.32758997]]
[[470.67999268]],[[472.14548206]]
[[470.10998535]],[[470.77675864]]
[[470.8500061]],[[470.21480918]]
[[470.15499878]],[[470.95469325]]
[[470.70498657]],[[470.25396349]]
[[466.79998779]],[[470.79767375]]
[[466.04501343]],[[466.88728038]]
[[462.72000122]],[[466.13398085]]
[[465.76000977]],[[462.80726172]]
[[467.13500977]],[[465.84508996]]
[[464.97000122]],[[467.22857757]]
[[468.39001465]],[[465.07140118]]
[[468.92001343]],[[468.49219883]]
[[469.63000488]],[[469.01686826]]
[[468.8500061]],[[469.72066439]]
[[471.29000854]],[[468.93411723]]
[[471.82998657]],[[471.37042627]]
[[472.46499634]],[[471.90831688]]
[[471.91000366]],[[472.53968488]]
[[471.91500854]],[[471.97974008]]
[[469.97000122]],[[471.9836944]]
[[469.3500061]],[[470.03964179]]
[[471.91000366]],[[469.42214427]]
[[468.35998535]],[[471.98565927]]
[[466.48999023]],[[468.43684975]]
[[462.07998657]],[[466.56592039]]
[[463.80499268]],[[462.15421773]]
[[464.1000061]],[[463.88228618]]
[[462.29998779]],[[464.18126474]]
[[462.51998901]],[[462.38416901]]
[[458.51998901]],[[462.60762704]]
[[460.10501099]],[[458.60920754]]
[[457.74499512]],[[460.19703012]]
[[460.73001099]],[[457.84102702]]
[[460.21499634]],[[460.83084329]]
[[459.89001465]],[[460.31329858]]
[[460.47000122]],[[459.98002743]]
[[460.92001343]],[[460.552187]]
[[457.17498779]],[[461.01163236]]
[[456.76000977]],[[457.27857602]]
[[457.85998535]],[[456.86864099]]
[[459.73001099]],[[457.96575341]]
[[456.33499146]],[[459.82628807]]
[[455.8999939]],[[456.41935468]]
[[469.55999756]],[[455.97455529]]
[[478.23498535]],[[469.64068334]]
[[477.54000854]],[[478.32299818]]
[[479.1000061]],[[477.62591881]]
[[479.8500061]],[[479.17974501]]
[[485.73999023]],[[479.92289649]]
[[483.35998535]],[[485.81163647]]
[[472.60998535]],[[483.43151462]]
[[471.64001465]],[[472.67621596]]
[[466.69000244]],[[471.70158682]]
[[465.80499268]],[[466.75258697]]
[[465.54998779]],[[465.87423991]]
[[469.04000854]],[[465.62770217]]
[[468.16000366]],[[469.12506586]]
[[467.]],[[468.24308585]]
[[469.51000977]],[[467.08530671]]
[[469.44000244]],[[469.60274324]]
[[472.23999023]],[[469.53810314]]
[[475.73208618]],[[472.33881328]]
[[477.60501099]],[[475.82919785]]
[[475.64001465]],[[477.69988241]]
[[481.07000732]],[[475.7310937]]
[[480.42001343]],[[481.1613197]]
[[479.70999146]],[[480.50958811]]
[[479.99499512]],[[479.79492322]]
[[483.39001465]],[[480.07587539]]
[[484.27999878]],[[483.47050358]]
[[487.01998901]],[[484.36004597]]
[[482.29998779]],[[487.09811238]]
[[481.94000244]],[[482.37777804]]
[[480.7749939]],[[482.01324262]]
[[479.97000122]],[[480.83766549]]
[[480.70001221]],[[480.01811347]]
[[479.77999878]],[[480.73905228]]
[[479.99499512]],[[479.81991678]]
[[489.7250061]],[[480.04156136]]
[[482.79998779]],[[489.77746398]]
[[482.29000854]],[[482.85603663]]
[[482.92001343]],[[482.35699919]]
[[481.59500122]],[[483.00507816]]
[[478.3999939]],[[481.69584294]]
[[482.98001099]],[[478.51424404]]
[[481.1000061]],[[483.10175841]]
[[482.54998779]],[[481.21360168]]
[[482.76000977]],[[482.65674057]]
[[485.8500061]],[[482.86555011]]
[[482.95001221]],[[485.95808078]]
[[481.83999634]],[[483.05928051]]
[[477.82998657]],[[481.94974585]]
[[474.6499939]],[[477.93511664]]
[[471.60998535]],[[474.75438188]]
[[475.64498901]],[[471.71617143]]
[[473.05999756]],[[475.75052077]]
[[472.95999146]],[[473.15668713]]
[[473.29000854]],[[473.04422677]]
[[474.85998535]],[[473.3622304]]
[[472.80999756]],[[474.92131274]]
[[478.32998657]],[[472.87081889]]
[[483.76651001]],[[478.40032779]]
[[488.15499878]],[[483.84823485]]
[[493.73001099]],[[488.24187853]]
[[500.48999023]],[[493.81505965]]
[[502.82000732]],[[500.57294426]]
[[501.20001221]],[[502.90251398]]
[[503.58999634]],[[501.29514548]]
[[506.89129639]],[[503.69518472]]
[[507.73999023]],[[507.00206885]]
[[502.77999878]],[[507.85174259]]
[[501.]],[[502.88084118]]
[[503.]],[[501.08594636]]
[[499.01998901]],[[503.07272674]]
[[497.42999268]],[[499.08997643]]
[[496.73001099]],[[497.50521995]]
[[495.97000122]],[[496.81155536]]
[[495.90499878]],[[496.05414794]]
[[492.3999939]],[[495.98906426]]
[[494.16000366]],[[492.48371102]]
[[487.64498901]],[[494.24417649]]
[[487.5]],[[487.72772148]]
[[486.67999268]],[[487.58365586]]
