y,pred
[[47.29000092]],[[47.59524571]]
[[47.16999817]],[[47.29576745]]
[[47.71500015]],[[47.17685062]]
[[47.63000107]],[[47.72289786]]
[[47.61999893]],[[47.63860776]]
[[45.93000031]],[[47.62897422]]
[[46.02999878]],[[45.93899962]]
[[46.52000046]],[[46.03918642]]
[[46.93999863]],[[46.52920341]]
[[48.09500122]],[[46.94910315]]
[[48.34000015]],[[48.10383348]]
[[48.72000122]],[[48.34885273]]
[[49.36500168]],[[48.72955481]]
[[48.81000137]],[[49.37552088]]
[[49.49000168]],[[48.82108073]]
[[49.22000122]],[[49.50110909]]
[[49.42990112]],[[49.22998401]]
[[49.41999817]],[[49.43896748]]
[[49.75]],[[49.42861018]]
[[50.72000122]],[[49.75858667]]
[[50.56000137]],[[50.72878913]]
[[51.75999832]],[[50.56872992]]
[[52.09999847]],[[51.76865984]]
[[52.18259811]],[[52.10846225]]
[[52.50999832]],[[52.19033699]]
[[51.95000076]],[[52.51734601]]
[[50.]],[[51.95700051]]
[[50.04999924]],[[50.00666566]]
[[50.38499832]],[[50.05695105]]
[[50.20000076]],[[50.39246179]]
[[49.74000168]],[[50.2081886]]
[[49.40999985]],[[49.74848823]]
[[49.22000122]],[[49.41881866]]
[[49.84000015]],[[49.22916604]]
[[50.33000183]],[[49.84952792]]
[[50.29999924]],[[50.33976051]]
[[50.41999817]],[[50.30980326]]
[[50.47000122]],[[50.43001923]]
[[50.25999832]],[[50.47948472]]
[[50.68999863]],[[50.26894226]]
[[50.36999893]],[[50.69862668]]
[[49.97000122]],[[50.37825991]]
[[50.04000092]],[[49.97801417]]
[[50.33000183]],[[50.04826649]]
[[50.56999969]],[[50.33843493]]
[[52.22000122]],[[50.57919321]]
[[52.31000137]],[[52.23088349]]
[[56.84000015]],[[52.32140867]]
[[56.95999908]],[[56.85184858]]
[[56.86000061]],[[56.97098429]]
[[57.27000046]],[[56.87034865]]
[[56.31999969]],[[57.28013979]]
[[56.09000015]],[[56.32977886]]
[[57.02000046]],[[56.09981231]]
[[54.81949997]],[[57.03008364]]
[[54.91999817]],[[54.8289702]]
[[54.90000153]],[[54.92919544]]
[[54.36500168]],[[54.90895698]]
[[53.61999893]],[[54.37389578]]
[[53.51990128]],[[53.6291387]]
[[53.09000015]],[[53.52938664]]
[[53.04999924]],[[53.09985334]]
[[52.99000168]],[[53.06000231]]
[[52.54000092]],[[52.99969378]]
[[52.15999985]],[[52.54903057]]
[[52.22000122]],[[52.16859501]]
[[52.18000031]],[[52.22838917]]
[[52.34999847]],[[52.1881647]]
[[50.72000122]],[[52.35789577]]
[[51.31999969]],[[50.72733689]]
[[51.59000015]],[[51.32746535]]
[[51.46770096]],[[51.59837223]]
[[52.25]],[[51.47736311]]
[[52.83000183]],[[52.26043383]]
[[52.68999863]],[[52.84061131]]
[[52.75]],[[52.70054034]]
[[51.95000076]],[[52.76062996]]
[[52.20999908]],[[51.96046409]]
[[51.95500183]],[[52.22027166]]
[[51.84500122]],[[51.96481972]]
[[51.81000137]],[[51.85410245]]
[[51.72000122]],[[51.81873515]]
[[52.24000168]],[[51.72855952]]
