y,pred
[[68.69999695]],[[68.52267379]]
[[68.91000366]],[[68.71404429]]
[[68.48999786]],[[68.92408471]]
[[68.41999817]],[[68.50332154]]
[[67.69999695]],[[68.4325655]]
[[66.09999847]],[[67.71265699]]
[[66.91000366]],[[66.11283899]]
[[67.07499695]],[[66.92297062]]
[[67.66500092]],[[67.08777175]]
[[67.70999908]],[[67.67747015]]
[[67.66500092]],[[67.72185736]]
[[67.58999634]],[[67.67661361]]
[[68.94999695]],[[67.60175706]]
[[69.09999847]],[[68.9626362]]
[[69.01000214]],[[69.11347325]]
[[68.68000031]],[[69.02347428]]
[[68.94000244]],[[68.69306416]]
[[69.43000031]],[[68.95226567]]
[[70.44000244]],[[69.44217921]]
[[70.94000244]],[[70.45271697]]
[[70.51999664]],[[70.95302366]]
[[70.70500183]],[[70.53289479]]
[[70.97000122]],[[70.71776761]]
[[70.99500275]],[[70.98269799]]
[[71.27999878]],[[71.00763734]]
[[70.81999969]],[[71.29242652]]
[[69.91000366]],[[70.83201693]]
[[69.75]],[[69.92218942]]
[[69.56999969]],[[69.76242004]]
[[69.75]],[[69.58262923]]
[[69.77999878]],[[69.76215527]]
[[69.38500214]],[[69.79160038]]
[[69.26000214]],[[69.39607177]]
[[69.30000305]],[[69.27078711]]
[[69.91999817]],[[69.31095225]]
[[69.94000244]],[[69.9314626]]
[[70.12999725]],[[69.95227837]]
[[70.25499725]],[[70.1433343]]
[[70.12000275]],[[70.26941281]]
[[70.80000305]],[[70.13481247]]
[[71.55439758]],[[70.81436823]]
[[70.91000366]],[[71.56767312]]
[[71.16000366]],[[70.92221236]]
[[71.125]],[[71.1715492]]
[[71.26999664]],[[71.13601841]]
[[72.84999847]],[[71.28111584]]
[[72.55999756]],[[72.86173381]]
[[73.40499878]],[[72.57203055]]
[[73.43000031]],[[73.41756239]]
[[73.06999969]],[[73.44303049]]
[[72.87999725]],[[73.08329973]]
[[72.26000214]],[[72.89262305]]
[[71.20999908]],[[72.27216789]]
[[72.15000153]],[[71.22216818]]
[[73.69999695]],[[72.16265567]]
[[74.18000031]],[[73.71323099]]
[[73.81999969]],[[74.19354549]]
[[73.09999847]],[[73.83361087]]
[[73.06999969]],[[73.11320484]]
[[73.05999756]],[[73.08282336]]
[[73.40000153]],[[73.07282056]]
[[71.70999908]],[[73.41310022]]
[[72.01000214]],[[71.72298105]]
[[71.83499908]],[[72.02296276]]
[[71.77999878]],[[71.84782946]]
[[71.75]],[[71.79311856]]
[[71.95999908]],[[71.76335753]]
[[72.13999939]],[[71.97311745]]
[[72.44000244]],[[72.15281545]]
[[72.63999939]],[[72.45272985]]
[[73.01999664]],[[72.65272703]]
[[73.55000305]],[[73.03256318]]
[[72.00499725]],[[73.56220405]]
[[72.80999756]],[[72.0165227]]
[[73.33999634]],[[72.82204407]]
[[74.33999634]],[[73.35331929]]
[[73.77500153]],[[74.35435059]]
[[73.81999969]],[[73.78937311]]
[[73.98999786]],[[73.83401457]]
[[73.86499786]],[[74.00338432]]
