y,pred
[[26.20000076]],[[26.19360928]]
[[26.04000092]],[[26.20390682]]
[[26.19000053]],[[26.04441568]]
[[26.29899979]],[[26.1948306]]
[[26.29000092]],[[26.30409998]]
[[26.31999969]],[[26.29501808]]
[[26.14959908]],[[26.32478756]]
[[26.05999947]],[[26.15412546]]
[[26.09980011]],[[26.06440539]]
[[25.96500015]],[[26.10428627]]
[[25.98999977]],[[25.97012476]]
[[25.96999931]],[[25.99564594]]
[[26.12000084]],[[25.97554246]]
[[26.10499954]],[[26.12508899]]
[[26.20000076]],[[26.10964735]]
[[26.31999969]],[[26.20436165]]
[[26.37999916]],[[26.32424701]]
[[26.29000092]],[[26.38447157]]
[[26.15999985]],[[26.29479919]]
[[26.68000031]],[[26.16499152]]
[[26.78000069]],[[26.68507351]]
[[26.70000076]],[[26.78491153]]
[[26.68499947]],[[26.70481329]]
[[26.75]],[[26.68979289]]
[[26.69000053]],[[26.75458536]]
[[26.79999924]],[[26.69450273]]
[[26.20000076]],[[26.80475651]]
[[26.125]],[[26.20490432]]
[[25.95999908]],[[26.12987414]]
[[25.87000084]],[[25.96459796]]
[[25.92000008]],[[25.87422218]]
[[26.15999985]],[[25.92428548]]
[[26.22999954]],[[26.16456759]]
[[26.31999969]],[[26.23486318]]
[[26.36000061]],[[26.32515005]]
[[26.46999931]],[[26.36519041]]
[[26.51000023]],[[26.4749038]]
[[26.48999977]],[[26.51438822]]
[[26.50499916]],[[26.48928195]]
[[26.54000092]],[[26.50056243]]
[[26.63999939]],[[26.5357966]]
[[26.55999947]],[[26.63837183]]
[[26.67000008]],[[26.5618885]]
[[26.71999931]],[[26.67550356]]
[[26.56999969]],[[26.72774032]]
[[26.69000053]],[[26.57785136]]
[[26.68000031]],[[26.69751998]]
[[26.60499954]],[[26.68704174]]
[[26.48999977]],[[26.6118071]]
[[26.30999947]],[[26.4967935]]
[[26.35000038]],[[26.31715359]]
[[26.23999977]],[[26.35706614]]
[[26.03000069]],[[26.24571198]]
[[25.97500038]],[[26.0347262]]
[[26.52029991]],[[25.97943597]]
[[26.65999985]],[[26.52494618]]
[[26.77000046]],[[26.6649023]]
[[26.84000015]],[[26.77518731]]
[[26.77000046]],[[26.84545443]]
[[26.72999954]],[[26.77608614]]
[[26.75]],[[26.73671123]]
[[26.43499947]],[[26.75695647]]
[[26.26000023]],[[26.44150059]]
[[26.34740067]],[[26.26543007]]
[[26.17000008]],[[26.35197179]]
[[26.14999962]],[[26.17422767]]
[[26.13999939]],[[26.15347027]]
[[26.48999977]],[[26.1429266]]
[[26.87999916]],[[26.4929419]]
[[27.45000076]],[[26.8833449]]
[[27.56500053]],[[27.45385778]]
[[27.60000038]],[[27.56921525]]
[[27.54000092]],[[27.60455234]]
[[27.69000053]],[[27.54450594]]
[[27.65999985]],[[27.69402506]]
[[27.72999954]],[[27.66403835]]
[[27.89999962]],[[27.73456922]]
[[28.20000076]],[[27.90536166]]
[[28.25]],[[28.20578089]]
[[28.11499977]],[[28.25584226]]
