Datetime,Actual,Predicted
2024-05-03 17:30:00+00:00,19.084999084472656,19.10766089909607
2024-05-03 18:30:00+00:00,19.065000534057617,19.09617964631295
2024-05-03 19:30:00+00:00,19.15999984741211,19.072246298041524
2024-05-06 13:30:00+00:00,19.53499984741211,19.167207429473645
2024-05-06 14:30:00+00:00,19.565000534057617,19.544526855628266
2024-05-06 15:30:00+00:00,19.690000534057617,19.588551720247278
2024-05-06 16:30:00+00:00,19.70499992370605,19.706589575356674
2024-05-06 17:30:00+00:00,19.790000915527344,19.717618127127892
2024-05-06 18:30:00+00:00,19.684999465942383,19.80457735700792
2024-05-06 19:30:00+00:00,19.709999084472656,19.69709510051834
2024-05-07 13:30:00+00:00,19.905000686645508,19.717641691933814
2024-05-07 14:30:00+00:00,19.790000915527344,19.910993846461785
2024-05-07 15:30:00+00:00,19.700000762939453,19.807842769904894
2024-05-07 16:30:00+00:00,19.68000030517578,19.708270287583957
2024-05-07 17:30:00+00:00,19.64999961853028,19.682289415889286
2024-05-07 18:30:00+00:00,19.739999771118164,19.658229260589266
2024-05-07 19:30:00+00:00,19.700000762939453,19.746038641813247
2024-05-08 13:30:00+00:00,19.690000534057617,19.710564615856228
2024-05-08 14:30:00+00:00,19.815000534057617,19.699126930216398
2024-05-08 15:30:00+00:00,19.834999084472656,19.82106026002286
2024-05-08 16:30:00+00:00,19.81999969482422,19.84866024348495
2024-05-08 17:30:00+00:00,19.93000030517578,19.831851314058067
2024-05-08 18:30:00+00:00,19.88999938964844,19.937376318999043
2024-05-08 19:30:00+00:00,19.88999938964844,19.903403014684066
2024-05-09 13:30:00+00:00,19.770000457763672,19.899930832042056
2024-05-09 14:30:00+00:00,19.725000381469727,19.777683381190297
2024-05-09 15:30:00+00:00,19.64999961853028,19.730710073372837
2024-05-09 16:30:00+00:00,19.540000915527344,19.654305046237447
2024-05-09 17:30:00+00:00,19.39999961853028,19.545906946788104
2024-05-09 18:30:00+00:00,19.56999969482422,19.402699949975688
2024-05-09 19:30:00+00:00,19.614999771118164,19.570164214214795
2024-05-10 13:30:00+00:00,19.559999465942383,19.625939613314596
2024-05-10 14:30:00+00:00,19.61000061035156,19.573688811239457
2024-05-10 15:30:00+00:00,19.46999931335449,19.615215663710394
2024-05-10 16:30:00+00:00,19.43000030517578,19.480852240544
2024-05-10 17:30:00+00:00,19.3799991607666,19.435328592211896
2024-05-10 18:30:00+00:00,19.3700008392334,19.383306513838818
2024-05-10 19:30:00+00:00,19.39999961853028,19.37671899742519
2024-05-13 13:30:00+00:00,19.80500030517578,19.405584958547617
2024-05-13 14:30:00+00:00,19.75,19.81213440294201
2024-05-13 15:30:00+00:00,19.597999572753903,19.773224218407503
2024-05-13 16:30:00+00:00,19.540000915527344,19.613926561928906
2024-05-13 17:30:00+00:00,19.56999969482422,19.540514843836764
2024-05-13 18:30:00+00:00,19.52499961853028,19.576625101386863
2024-05-13 19:30:00+00:00,19.520000457763672,19.533587757186567
2024-05-14 13:30:00+00:00,19.68000030517578,19.52639148583452
2024-05-14 14:30:00+00:00,19.73500061035156,19.685808661049318
2024-05-14 15:30:00+00:00,19.7450008392334,19.74916034974274
2024-05-14 16:30:00+00:00,19.71500015258789,19.758511312635566
2024-05-14 17:30:00+00:00,19.69499969482422,19.72439462639214
2024-05-14 18:30:00+00:00,19.78499984741211,19.703852357723395
2024-05-14 19:30:00+00:00,19.799999237060547,19.79210950619377
2024-05-15 13:30:00+00:00,19.64999961853028,19.811381869845267
2024-05-15 14:30:00+00:00,19.770000457763672,19.66151360973773
2024-05-15 15:30:00+00:00,19.924999237060547,19.77232329355199
2024-05-15 16:30:00+00:00,19.94499969482422,19.934368319391332
2024-05-15 17:30:00+00:00,19.864999771118164,19.962356989960924
2024-05-15 18:30:00+00:00,19.80500030517578,19.876175157703514
2024-05-15 19:30:00+00:00,19.709999084472656,19.811736429666976
2024-05-16 13:30:00+00:00,19.940000534057617,19.7162841257891
2024-05-16 14:30:00+00:00,19.950000762939453,19.94327466872873
2024-05-16 15:30:00+00:00,20.03499984741211,19.96407869823883
2024-05-16 16:30:00+00:00,20.145000457763672,20.04849986591184
2024-05-16 17:30:00+00:00,20.11000061035156,20.15441913764043
2024-05-16 18:30:00+00:00,20.000099182128903,20.12652499464831
2024-05-16 19:30:00+00:00,19.875,20.01014128157139
2024-05-17 13:30:00+00:00,16.1200008392334,19.879767791816484
2024-05-17 14:30:00+00:00,16.459999084472656,16.150108678826523
2024-05-17 15:30:00+00:00,16.65880012512207,16.340956154646868
2024-05-17 16:30:00+00:00,16.405000686645508,16.603886783800288
2024-05-17 17:30:00+00:00,16.490100860595703,16.45415102994654
2024-05-17 18:30:00+00:00,16.7549991607666,16.46805872246104
2024-05-17 19:30:00+00:00,16.510099411010742,16.770226053886205
2024-05-20 13:30:00+00:00,16.020000457763672,16.542508997844116
2024-05-20 14:30:00+00:00,16.170000076293945,16.034116337233236
2024-05-20 15:30:00+00:00,16.045000076293945,16.163200314228032
2024-05-20 16:30:00+00:00,16.110000610351562,16.06057060446929
2024-05-20 17:30:00+00:00,16.155000686645508,16.12575573863751
2024-05-20 18:30:00+00:00,16.415000915527344,16.166397889468854
2024-05-20 19:30:00+00:00,16.200000762939453,16.435723976364926
2024-05-21 13:30:00+00:00,15.649999618530272,16.226887860483387
2024-05-21 14:30:00+00:00,15.875,15.66825392917085
2024-05-21 15:30:00+00:00,15.869999885559082,15.866001365048474
2024-05-21 16:30:00+00:00,15.854999542236328,15.886070586250034
